─	9472
○	9675
（	65288
！	65281
一	19968
丁	19969
七	19971
丈	19976
三	19977
上	19978
下	19979
不	19981
丑	19985
且	19988
世	19990
丙	19993
並	20006
中	20013
丸	20024
丹	20025
主	20027
乃	20035
久	20037
之	20043
乎	20046
乘	20056
乙	20057
九	20061
乞	20062
也	20063
乳	20083
乾	20094
亂	20098
了	20102
予	20104
事	20107
二	20108
于	20110
云	20113
互	20114
五	20116
井	20117
亞	20126
亡	20129
交	20132
亥	20133
亦	20134
享	20139
京	20140
亭	20141
亮	20142
人	20154
什	20160
仁	20161
仇	20167
今	20170
介	20171
仍	20173
他	20182
付	20184
仙	20185
仝	20189
仟	20191
代	20195
令	20196
以	20197
仰	20208
仲	20210
件	20214
任	20219
份	20221
企	20225
伉	20233
伍	20237
伏	20239
伐	20240
休	20241
伙	20249
伯	20271
估	20272
伴	20276
似	20284
佃	20291
但	20294
佈	20296
位	20301
低	20302
住	20303
佐	20304
佑	20305
佔	20308
何	20309
余	20313
佛	20315
作	20316
你	20320
佩	20329
佯	20335
佰	20336
佳	20339
併	20341
使	20351
來	20358
例	20363
侍	20365
供	20379
依	20381
侯	20399
侵	20405
侶	20406
便	20415
係	20418
促	20419
俄	20420
俊	20426
俗	20439
保	20445
俞	20446
俠	20448
信	20449
修	20462
俱	20465
俸	20472
俾	20478
倉	20489
個	20491
倍	20493
們	20497
倒	20498
倘	20504
候	20505
借	20511
倫	20523
倭	20525
值	20540
假	20551
偉	20553
做	20570
停	20572
健	20581
側	20596
偵	20597
偶	20598
偽	20605
傅	20613
傑	20625
備	20633
催	20652
傳	20659
債	20661
傷	20663
傾	20670
僅	20677
像	20687
僑	20689
僧	20711
僱	20721
價	20729
儀	20736
億	20740
儉	20745
儒	20754
償	20767
優	20778
儲	20786
允	20801
元	20803
兄	20804
充	20805
兆	20806
兇	20807
先	20808
光	20809
克	20811
兌	20812
免	20813
兒	20818
兢	20834
入	20837
內	20839
全	20840
兩	20841
八	20843
公	20844
六	20845
共	20849
兵	20853
其	20854
具	20855
典	20856
兹	20857
兼	20860
冊	20874
再	20877
冒	20882
冠	20896
冬	20908
冲	20914
决	20915
况	20917
冷	20919
准	20934
凌	20940
凡	20961
凰	20976
凱	20977
出	20986
函	20989
刀	20992
分	20998
切	20999
刊	21002
刑	21009
列	21015
初	21021
判	21028
別	21029
利	21033
到	21040
制	21046
刷	21047
券	21048
刻	21051
刼	21052
則	21063
剌	21068
前	21069
剛	21083
剪	21098
副	21103
創	21109
劃	21123
劇	21127
劉	21129
劍	21133
劑	21137
力	21147
功	21151
加	21152
劣	21155
助	21161
努	21162
効	21177
勁	21185
勇	21191
勉	21193
勒	21202
動	21205
勘	21208
務	21209
勛	21211
勝	21213
勞	21214
募	21215
勢	21218
勤	21220
勳	21235
勵	21237
勸	21240
勾	21246
勿	21247
包	21253
化	21270
北	21271
匪	21290
匯	21295
區	21312
十	21313
千	21315
卅	21317
升	21319
午	21320
半	21322
卒	21330
卓	21331
協	21332
南	21335
博	21338
占	21344
卡	21345
卯	21359
印	21360
危	21361
即	21363
卷	21367
卸	21368
卹	21369
卿	21375
厘	21400
厚	21402
厝	21405
原	21407
厲	21426
去	21435
叁	21441
參	21443
又	21448
及	21450
友	21451
反	21453
叔	21460
取	21462
受	21463
叛	21467
叢	21474
口	21475
古	21476
句	21477
另	21478
只	21482
召	21484
可	21487
台	21488
史	21490
右	21491
司	21496
吃	21507
各	21508
合	21512
同	21516
名	21517
吏	21519
向	21521
君	21531
否	21542
吳	21555
吸	21560
吹	21561
吾	21566
呂	21570
呈	21576
告	21578
呢	21602
周	21608
味	21619
呼	21628
命	21629
和	21644
咳	21683
咸	21688
哀	21696
品	21697
哉	21705
員	21729
哥	21733
哲	21746
唁	21761
唐	21776
售	21806
唱	21809
商	21830
問	21839
啟	21855
善	21892
喊	21898
喚	21914
喜	21916
喪	21930
喬	21932
單	21934
嗣	21987
嘉	22025
嘗	22039
器	22120
嚮	22190
嚴	22196
囍	22221
囑	22225
四	22235
回	22238
因	22240
困	22256
固	22266
圃	22275
國	22283
圍	22285
園	22290
圓	22291
圖	22294
團	22296
土	22303
在	22312
地	22320
址	22336
坂	22338
均	22343
坐	22352
坑	22353
坡	22369
坤	22372
坪	22378
垂	22402
型	22411
垣	22435
城	22478
埔	22484
埕	22485
域	22495
埠	22496
執	22519
培	22521
基	22522
堂	22530
堅	22533
堪	22570
堯	22575
報	22577
場	22580
塊	22602
塗	22615
填	22635
境	22659
墓	22675
增	22686
墨	22696
墻	22715
壇	22727
壓	22739
壞	22750
壩	22761
士	22763
壬	22764
壯	22767
壹	22777
壽	22781
夏	22799
夕	22805
外	22806
多	22810
夜	22812
夢	22818
夥	22821
大	22823
天	22825
太	22826
夫	22827
央	22830
失	22833
夷	22839
夾	22846
奇	22855
奈	22856
奉	22857
奎	22862
奏	22863
契	22865
奔	22868
套	22871
奠	22880
奧	22887
奪	22890
奮	22894
女	22899
奴	22900
奶	22902
奸	22904
如	22914
妖	22934
妙	22937
妥	22949
妨	22952
妹	22969
妻	22971
姊	22986
始	22987
姐	22992
姑	22993
姓	22995
委	22996
姚	23002
姜	23004
姦	23014
姪	23018
姻	23035
威	23041
娛	23067
娥	23077
婚	23130
婦	23142
媒	23186
嫁	23233
嫂	23234
嫡	23265
嬰	23344
子	23376
孔	23380
字	23383
存	23384
孚	23386
孝	23389
孟	23391
季	23395
孤	23396
孩	23401
孫	23403
孰	23408
學	23416
孺	23418
宅	23429
宇	23431
守	23432
安	23433
宋	23435
完	23436
宏	23439
宗	23447
官	23448
宙	23449
定	23450
宛	23451
宜	23452
客	23458
宣	23459
室	23460
宮	23470
宰	23472
害	23475
宴	23476
家	23478
容	23481
宿	23487
寄	23492
寅	23493
密	23494
寇	23495
富	23500
寒	23506
寓	23507
察	23519
實	23526
寧	23527
寨	23528
審	23529
寫	23531
寬	23532
寮	23534
寵	23541
寶	23542
寸	23544
寺	23546
封	23553
射	23556
將	23559
專	23560
尉	23561
尊	23562
尋	23563
對	23565
導	23566
小	23567
少	23569
尚	23578
尤	23588
就	23601
尺	23610
尾	23614
局	23616
居	23621
屆	23622
屈	23624
屋	23627
屏	23631
展	23637
屠	23648
層	23652
履	23653
屬	23660
山	23665
岡	23713
岳	23731
岸	23736
峯	23791
峰	23792
島	23798
崇	23815
嶺	23994
嶼	23996
嶽	23997
巖	24022
川	24029
州	24030
巡	24033
工	24037
左	24038
巧	24039
巨	24040
差	24046
己	24049
已	24050
巳	24051
巴	24052
巷	24055
巾	24062
市	24066
布	24067
帆	24070
希	24076
帖	24086
帝	24093
師	24107
席	24109
帳	24115
帶	24118
常	24120
帽	24125
幀	24128
幅	24133
幕	24149
幛	24155
幟	24159
幣	24163
幫	24171
干	24178
平	24179
年	24180
并	24182
幸	24184
幹	24185
幻	24187
幼	24188
幾	24190
序	24207
底	24213
店	24215
庚	24218
府	24220
度	24230
座	24231
庫	24235
庭	24237
庶	24246
康	24247
庸	24248
廂	24258
廈	24264
廉	24265
廖	24278
廟	24287
廠	24288
廢	24290
廣	24291
廬	24300
廳	24307
延	24310
廷	24311
建	24314
廿	24319
弊	24330
式	24335
引	24341
弗	24343
弟	24351
弱	24369
張	24373
強	24375
彈	24392
彙	24409
彝	24413
形	24418
彥	24421
彩	24425
彭	24429
彰	24432
影	24433
彷	24439
役	24441
彼	24444
往	24448
征	24449
待	24453
很	24456
律	24459
後	24460
徐	24464
徒	24466
得	24471
從	24478
御	24481
徧	24487
復	24489
微	24494
徵	24501
德	24503
心	24515
必	24517
忍	24525
志	24535
忘	24536
忙	24537
忠	24544
快	24555
忱	24561
念	24565
忽	24573
怎	24590
怒	24594
怕	24597
思	24605
怡	24609
急	24613
性	24615
怨	24616
怪	24618
恃	24643
恆	24646
恐	24656
恕	24661
恥	24677
恨	24680
恩	24681
恪	24682
恭	24685
息	24687
悅	24709
悉	24713
悔	24724
悞	24734
悟	24735
患	24739
悲	24754
悵	24757
悶	24758
悼	24764
情	24773
惜	24796
惟	24799
惠	24800
惡	24801
想	24819
愁	24833
愉	24841
意	24847
愚	24858
愛	24859
感	24863
愧	24871
慈	24904
態	24907
慎	24910
慘	24920
慢	24930
慣	24931
慧	24935
慨	24936
慰	24944
慶	24950
慾	24958
憂	24962
憐	24976
憑	24977
憲	25010
憶	25014
懇	25031
應	25033
懲	25074
懷	25079
懺	25082
戀	25088
戈	25096
戊	25098
戌	25100
成	25104
我	25105
戒	25106
或	25110
戚	25114
截	25130
戰	25136
戲	25138
戴	25140
戶	25142
房	25151
所	25152
扇	25159
手	25163
才	25165
扎	25166
打	25171
托	25176
扣	25187
扶	25206
批	25209
扺	25210
找	25214
承	25215
技	25216
抄	25220
把	25226
抑	25233
投	25237
抗	25239
折	25240
抵	25269
押	25276
担	25285
拆	25286
拒	25298
拓	25299
拔	25300
拖	25302
拘	25304
招	25307
拜	25308
拭	25325
拾	25342
拿	25343
持	25345
指	25351
按	25353
挑	25361
振	25391
挽	25405
捉	25417
捌	25420
捐	25424
捕	25429
据	25454
捷	25463
掃	25475
授	25480
掌	25484
排	25490
掙	25497
掛	25499
採	25505
探	25506
接	25509
推	25512
措	25514
掬	25516
提	25552
插	25554
揖	25558
揚	25562
換	25563
握	25569
揮	25582
援	25588
損	25613
搖	25622
搜	25628
搬	25644
搶	25654
摘	25688
摧	25703
摩	25705
摯	25711
摸	25720
摹	25721
撈	25736
撒	25746
撞	25758
撤	25764
撥	25765
撫	25771
播	25773
撮	25774
撰	25776
擁	25793
擅	25797
擇	25799
擊	25802
操	25805
擒	25810
擔	25812
據	25818
擦	25830
擬	25836
擱	25841
擲	25842
擴	25844
擾	25854
攜	25884
攝	25885
支	25903
收	25910
攷	25911
改	25913
攻	25915
放	25918
政	25919
故	25925
效	25928
敏	25935
救	25937
敗	25943
敘	25944
教	25945
敝	25949
敢	25954
散	25955
敦	25958
敬	25964
整	25972
敵	25973
數	25976
敺	25978
文	25991
斗	26007
料	26009
斜	26012
斤	26020
斯	26031
新	26032
斷	26039
方	26041
於	26044
施	26045
旁	26049
旅	26053
旋	26059
族	26063
旗	26071
既	26082
日	26085
旦	26086
旨	26088
早	26089
旬	26092
旭	26093
旱	26097
旺	26106
昆	26118
昇	26119
昌	26124
明	26126
昏	26127
易	26131
昔	26132
星	26143
映	26144
春	26149
昨	26152
昭	26157
是	26159
時	26178
晉	26185
晚	26202
晨	26216
普	26222
景	26223
晶	26230
智	26234
暇	26247
暑	26257
暗	26263
暢	26274
暫	26283
暮	26286
暴	26292
曆	26310
曉	26313
曰	26352
曲	26354
更	26356
書	26360
曹	26361
曾	26366
最	26368
會	26371
月	26376
有	26377
朋	26379
服	26381
望	26395
朝	26397
期	26399
木	26408
未	26410
末	26411
本	26412
札	26413
朱	26417
杄	26436
杉	26441
李	26446
材	26448
村	26449
杜	26460
杭	26477
杯	26479
杰	26480
東	26481
松	26494
板	26495
析	26512
林	26519
果	26524
枝	26525
架	26550
某	26576
柑	26577
柒	26578
染	26579
柔	26580
查	26597
柬	26604
柯	26607
柳	26611
柴	26612
柵	26613
栗	26647
校	26657
株	26666
核	26680
根	26681
格	26684
桂	26690
桃	26691
案	26696
桌	26700
桐	26704
桑	26705
桔	26708
梁	26753
梅	26757
梓	26771
條	26781
梨	26792
械	26800
棄	26820
棉	26825
棋	26827
棧	26855
森	26862
植	26893
楊	26954
楚	26970
楨	26984
業	26989
極	26997
楷	26999
概	27010
榮	27054
構	27083
樂	27138
樑	27153
樓	27155
標	27161
樞	27166
樟	27167
模	27169
樣	27171
樹	27193
橋	27211
機	27231
橡	27233
橫	27243
檀	27264
檔	27284
檢	27298
欄	27396
權	27402
欠	27424
次	27425
欣	27427
欲	27442
欺	27450
欽	27453
款	27454
歌	27468
歐	27472
歟	27487
歡	27489
止	27490
正	27491
此	27492
步	27493
武	27494
歲	27506
歷	27511
歸	27512
死	27515
殆	27526
殊	27530
殘	27544
段	27573
殺	27578
毀	27584
毅	27589
毋	27595
母	27597
每	27599
毒	27602
比	27604
毛	27611
毫	27627
氏	27663
民	27665
氣	27683
水	27700
氷	27703
永	27704
汀	27712
求	27714
汕	27733
汗	27735
汝	27741
江	27743
池	27744
污	27745
汪	27754
決	27770
汽	27773
沈	27784
沉	27785
沒	27794
沙	27801
河	27827
油	27833
治	27835
沿	27839
況	27841
泉	27849
泊	27850
法	27861
波	27874
泣	27875
泥	27877
注	27880
泰	27888
泳	27891
洋	27915
洗	27927
洛	27931
洞	27934
津	27941
洪	27946
洲	27954
洵	27957
活	27963
洽	27965
派	27966
流	27969
浙	27993
浪	28010
浮	28014
浴	28020
海	28023
浸	28024
消	28040
涉	28041
涓	28051
涼	28092
淇	28103
淋	28107
淚	28122
淡	28129
淦	28134
淨	28136
淪	28138
淮	28142
深	28145
淺	28154
添	28155
清	28165
減	28187
渡	28193
測	28204
港	28207
游	28216
湖	28246
湯	28271
溉	28297
源	28304
準	28310
溝	28317
溪	28330
溫	28331
滅	28357
滋	28363
滬	28396
滴	28404
滿	28415
漁	28417
漆	28422
漏	28431
演	28436
漢	28450
漫	28459
漲	28466
漳	28467
潔	28500
潘	28504
潭	28525
潮	28526
澄	28548
澈	28552
澎	28558
澤	28580
澳	28595
激	28608
濁	28609
濟	28639
濱	28657
瀋	28683
灌	28748
灣	28771
火	28779
灰	28784
灼	28796
災	28797
炊	28810
炎	28814
炭	28845
炳	28851
炸	28856
為	28858
烈	28872
烏	28879
烟	28895
烽	28925
焉	28937
無	28961
焦	28966
然	28982
煙	29017
煤	29028
煥	29029
照	29031
煩	29033
熊	29066
熙	29081
熟	29087
熱	29105
燈	29128
燒	29138
燕	29141
營	29151
燭	29165
爭	29229
父	29238
爽	29245
爾	29246
片	29255
版	29256
牋	29259
牌	29260
牘	29272
牙	29273
牛	29275
牧	29287
物	29289
牲	29298
特	29305
犒	29330
犧	29351
犯	29359
狀	29376
狂	29378
狹	29433
猛	29467
猪	29482
献	29486
猶	29494
獄	29508
獅	29509
獎	29518
獨	29544
獲	29554
獸	29560
獻	29563
玄	29572
玆	29574
率	29575
玉	29577
王	29579
玖	29590
玩	29609
玻	29627
珍	29645
珠	29664
班	29677
現	29694
球	29699
理	29702
琪	29738
琴	29748
瑞	29790
璃	29827
璋	29835
璧	29863
環	29872
瓊	29898
瓶	29942
甘	29976
甚	29978
生	29983
產	29986
用	29992
甫	29995
甯	29999
田	30000
由	30001
甲	30002
申	30003
男	30007
界	30028
畏	30031
留	30041
畝	30045
畢	30050
略	30053
番	30058
畫	30059
異	30064
當	30070
疆	30086
疋	30091
疏	30095
疑	30097
疫	30123
疾	30142
病	30149
症	30151
痛	30171
療	30274
癸	30328
登	30331
發	30332
白	30333
百	30334
皂	30338
的	30340
皆	30342
皇	30343
皮	30382
盈	30408
益	30410
盒	30418
盛	30427
盜	30428
盟	30431
盡	30433
監	30435
盤	30436
盧	30439
目	30446
直	30452
相	30456
省	30465
眉	30473
看	30475
真	30495
眷	30519
眼	30524
眾	30526
着	30528
睛	30555
睡	30561
督	30563
矣	30691
知	30693
短	30701
石	30707
研	30740
砲	30770
破	30772
碑	30865
碧	30887
碱	30897
確	30906
碼	30908
碾	30910
磅	30917
礙	31001
礦	31014
示	31034
社	31038
祀	31040
祇	31047
祈	31048
祕	31061
祖	31062
祝	31069
神	31070
祠	31072
祥	31077
票	31080
祭	31085
祺	31098
祿	31103
禁	31105
禍	31117
禎	31118
福	31119
禦	31142
禧	31143
禪	31146
禮	31150
禾	31166
秀	31168
私	31169
秉	31177
秋	31179
科	31185
秘	31192
租	31199
秦	31206
秩	31209
移	31227
稅	31237
程	31243
稚	31258
稟	31263
種	31278
稱	31281
稻	31291
稽	31293
稿	31295
穀	31296
穌	31308
積	31309
穎	31310
穩	31337
究	31350
空	31354
窗	31383
窮	31406
立	31435
站	31449
竟	31455
章	31456
竣	31459
童	31461
端	31471
競	31478
